Numero sentiero tratta;Competenza;Denominazione;Difficoltà;Località inizio;Località fine;Quota inizio;Quota fine;Quota minima;Quota massima;Lunghezza plaminetrica;Lunghezza inclinata;Tempo andata;Tempo ritorno;Gruppo montagne interessate;Comuni toccati,miovalore,cancellato
E739;RIF. VELO DELLA MADONNA;VIA FERRATA DEL VELO VF - EEA-D;EEA-D;RIFUGIO VELO DELLA MADONNA (b.713-742);FORCELLA DEL PORTON (b.714-739A);2331;2460;2331;2460;1280;1310;01:00;01:00;PALE DI SAN MARTINO sud;Tonadico, Siror,17,0
E739A;SEZ. SAT O.C.;VIA FERRATA DEL PORTON VF - EEA-MD;EEA-MD;pr. RIFUGIO PRADIDALI (b.715);FORCELLA DEL PORTON (b.714-739);2300;2460;2299;2460;1600;1650;02:00;02:00;PALE DI SAN MARTINO sud;Tonadico, Siror,20,0
E739B;SEZ. SAT O.C.;VIA FERRATA DELLA VECIA VF - EEA-D;EEA-D;CADIN DI SORA RONZ (b.721);QUOTA 2400  (b.739);2000;2400;2000;2400;1320;1380;01:20;01:10;PALE DI SAN MARTINO sud;Siror,11,0
E742;RIF. VELO DELLA MADONNA;VIA FERRATA DEL CACCIATORE VF - EEA-PD;EEA-PD;PORTELA - Pedemonte (b.719);RIFUGIO VELO DELLA MADONNA (b.713-739);1627;2331;1627;2530;2930;3150;03:30;03:00;PALE DI SAN MARTINO sud;Tonadico, Siror,13,0
E743;SEZ. SAT PRIMIERO S. MARTINO - VANOI;;EE;SFORZELIN DE LA CHEGANTAIA (b.744);RITASA (b.723);1285;1275;1220;1350;2910;2950;01:10;01:15;PALE DI SAN MARTINO sud;Transacqua,13,0
E744;SEZ. SAT PRIMIERO S. MARTINO - VANOI;"""ALESSANDRO VIOLA""";EE;DOMADOI - bivio SS 347 Passo Cereda;RIFUGIO CALTENA (b.725);1100;1260;1100;1867;6580;6780;04:10;03:50;PALE DI SAN MARTINO sud;Transacqua,13,0
E744A;SEZ. SAT PRIMIERO S. MARTINO - VANOI;;E;SCOFA (b.743);PRA CAORIL (b.744);1300;1625;1300;1625;1150;1200;00:50;00:30;PALE DI SAN MARTINO sud;Transacqua,13,0
E745;SEZ. SAT PRIMIERO S. MARTINO - VANOI;;E;PRATI RONZI - bivio 724 PPPSM;RONZ DEI PALETI (b.717);1364;1320;1320;1364;1300;1310;00:20;00:25;PALE DI SAN MARTINO sud;Siror,15,0
E747;SEZ. SAT O.C.;"VIA FERRATA ""DINO BUZZATI"" VF - EEA-D";EEA-D;RODENA (b.731);QUOTA 2420 (b.742);1526;2420;1526;2480;2660;2910;04:00;03:20;PALE DI SAN MARTINO sud;Tonadico,11,0
E748;SEZ. SAT PRIMIERO S. MARTINO - VANOI;;E;AGAON (b.726);PASS DE MURA;1127;1867;1127;1954;7700;7800;03:40;03:10;PIZ DE SAGRON - CIMONEGA;Mezzano, Transacqua,13,0
E749;PARCO NATURALE PANEVEGGIO PALE DI S. MARTINO;;E;CAMPIGOL DELLA VEZZANA (b.710);FORCELLA VENEGIA - bivio 751 PPPSM;1884;2217;1884;2217;3100;3130;01:30;01:10;PALE DI SAN MARTINO nord;Siror,12,0
E801;SEZ. SAT PRIMIERO S. MARTINO - VANOI;VIA FERRATA DEL COMEDON - INTAIADA VF - EEA-F;EEA-F;PASSO CEREDA;pr. PASSO DEL COMEDON;1370;2130;1297;2130;5870;6070;03:35;03:00;PIZ DE SAGRON - CIMONEGA;Sagron Mis,20,0
E801A;SEZ. SAT PRIMIERO S. MARTINO - VANOI;;T;SAGRON - GIANESEI (b.801B);CASERE (b.801);1122;1297;0;1297;1240;1270;00:35;00:25;PIZ DE SAGRON - CIMONEGA;Sagron Mis,20,0
E801B;SEZ. SAT PRIMIERO S. MARTINO - VANOI;"SENTIERO ""ITALO ZECCHINI""";E;SAGRON - GIASENEI (b.801A);COLAZ (b.801);1122;1365;1122;1365;1570;1610;00:50;00:35;PIZ DE SAGRON - CIMONEGA;Sagron Mis,19,0
O101;"RIF. SAENT ""SILVIO DORIGONI""";SENTIERO;EE;"RIFUGIO SAENT ""SILVIO DORIGONI"" (b.106-107)";PASSO SAENT;2436;2965;2436;2965;2700;2760;01:30;01:10;CEVEDALE / Sternai - Collecchio;Rabbi,14,0
O102;"RIF. CEVEDALE ""GUIDO LARCHER""";;EE;CENTRALE DI MALGA MARE (b.123-127);"RIFUGIO CEVEDALE ""GUIDO LARCHER"" (b.103-104)";1972;2608;1972;2608;4100;4170;01:50;01:20;CEVEDALE / Cima Venezia;Peio,20,0
O103;"RIF. CEVEDALE ""GUIDO LARCHER""";;EE;"RIFUGIO CEVEDALE ""GUIDO LARCHER"" (b.102-104)";LA FORCOLA;2608;3032;2608;3032;2900;2940;01:20;01:00;CEVEDALE / Cima Venezia;Peio,14,0
O104;"RIF. SAENT ""SILVIO DORIGONI"", RIF. CEVEDALE ""GUIDO LARCHER""";;EE;VAL SAENT (b.101);"RIFUGIO CEVEDALE ""GUIDO LARCHER"" (b.102-103)";2500;2608;2500;3125;9030;9260;05:45;05:30;CEVEDALE / Cima Venezia;Rabbi, Peio,20,0
O104A;"RIF. CEVEDALE ""GUIDO LARCHER""";;E;pr. IL LAGO NERO (b.123);PASSERELLA SUL RIO CARESER (b.104);2620;2870;2620;2870;2710;2740;01:15;01:00;CEVEDALE / Cima Venezia;Rabbi,15,0
O105;"RIF. VIOZ ""MANTOVA""";SENTIERO ATTREZZATO DEL VIOZ;EE;PEIO;"RIFUGIO VIOZ ""MANTOVA""";1579;3520;1579;3520;10200;10410;06:00;04:00;CEVEDALE / Corno Tre Signori - San Matteo;Peio,18,0
O106;"RIF. SAENT ""SILVIO DORIGONI""";SENTIERO DEGLI ALPINISTI;E;PARCHEGGIO FONTANIN AL COLER;"RIFUGIO SAENT ""SILVIO DORIGONI"" (b.101-107)";1369;2436;1369;2436;7620;7760;03:30;02:30;CEVEDALE / Cima Venezia;Rabbi,12,0
O107;"RIF. SAENT ""SILVIO DORIGONI""";;E;"RIFUGIO SAENT ""SILVIO DORIGONI"" (b.101-106)";GIOGO NERO (b.145);2436;2833;2425;2833;3500;3540;01:40;01:20;CEVEDALE / Sternai - Collecchio;Rabbi,17,0
O108;SEZ. SAT RABBI STERNAI;;E;RABBI FONTI - chiesa;PASSO RABBI;1222;2467;1222;2467;6800;6970;04:00;02:40;CEVEDALE / Sternai - Collecchio;Rabbi,11,0
O109;SEZ. SAT PEIO, SEZ. SAT RABBI STERNAI;SENTIERO DI PASSO CERCEN;E;CELLEDIZZO - presso la chiesa;PARCHEGGIO FONTANON (b.172);1185;1549;1185;2623;13790;14080;06:00;05:40;CEVEDALE / Vegaia - Tremenesca;Peio, Rabbi,10,0
O109B;SEZ. SAT PEIO;SENTIERO DEGLI ALPINISTI;E;COGOLO;QUOTA 1375 (b.109);1157;1375;1157;1375;1600;1620;00:35;00:20;CEVEDALE / Vegaia - Tremenesca;Peio,10,0
O110;SEZ. SAT PEIO;SENTIERO  DI PIAN PALU' E DELLA SFORZELLINA;E;MALGA TERMENAGO BASSA - parcheggio (b.124);PASSO DELLA SFORZELLINA;1520;3005;1520;3005;13300;13510;05:50;04:40;CEVEDALE / Corno Tre Signori - San Matteo;Peio,10,0
O110B;SEZ. SAT PEIO;SENTIERO DELLE CARBONAIE;E;FONTANINO DI CELENTINO (b.110);MALGA PALUDEI (b.124-141);1676;2106;1676;2106;4700;4750;02:10;01:40;CEVEDALE / Corno Tre Signori - San Matteo;Peio,14,0
O111;SEZ. SAT VERMIGLIO, SEZ. SAT PEIO;;E;PASSO DEL TONALE;LAGO DI PIAN PALU' (b.110);1883;1815;1815;2681;13730;13930;05:15;05:20;CEVEDALE / Boai - Redival - Albiolo;Vermiglio, Peio,13,0
O111A;SEZ. SAT VERMIGLIO;;T;PASSO DEL TONALE;OSPIZIO SAN BARTOLOMEO (b.111-160);1883;1971;1883;1971;1240;1250;00:20;00:15;CEVEDALE / Boai - Redival - Albiolo;Vermiglio,12,0
O111B;SEZ. SAT PEIO;;E;QUOTA 2058 (b.137);QUOTA 2100 (b.111);2058;2100;2058;2100;1500;1510;00:30;00:20;CEVEDALE / Boai - Redival - Albiolo;Peio,19,0
O112;SEZ. SAT BRESIMO;;E;MALGA BORDOLONA DI SOTTO (b.136);PASSO DI VAL CLAPA - bivio 16-AVS;1806;2296;1806;2296;2400;2470;01:30;01:00;MADDALENE / Binasia - Monte Pin;Bresimo,18,0
O113;SEZ. SAT RUMO;;EE;LANZA - frazione di Rumo;CIMA DEGLI OLMI - ILMENSPITZ (b.113A);1111;2656;1111;2656;7600;7800;04:30;03:30;MADDALENE / Stubele - Olmi - Luco;Rumo,19,0
O113A;SEZ. SAT RUMO;;EE;BAGNI DI MOCENIGO - Rumo (b.134);CIMA DEGLI OLMI - ILMENSPITZ (b.113);1049;2656;1049;2656;7200;7410;05:00;03:40;MADDALENE / Stubele - Olmi - Luco;Rumo,20,0
O113B;SEZ. SAT RUMO;;E;CRESTA E DELLE SLAVAZZAIE (b.133);QUOTA 2128 (b.113A);2070;2128;2070;2128;1790;1800;00:40;00:40;MADDALENE / Stubele - Olmi - Luco;Rumo,12,0
O114;SEZ. SAT FONDO;;E;MALGA DI BREZ - Malga di Monte Ori;PRA' DEL SIGNOR (b.157);1845;1785;1780;1845;3900;3920;01:30;01:30;MADDALENE / Stubele - Olmi - Luco;Castelfondo, Brez,11,0
O115;SEZ. SAT BRESIMO;;E;PONT DELLE POIE;PASSO LAINERT (b.133B);1199;2216;1199;2216;6500;6630;03:10;02:20;MADDALENE / Tuatti - Castel Pagano - Le Mandrie;Bresimo,17,0
O115A;SEZ. SAT BRESIMO;;E;MALGA LARESE' DI SOPRA (b.117);QUOTA 2140 (b.115);2028;2140;2028;2140;1740;1750;01:00;00:40;MADDALENE / Tuatti - Castel Pagano - Le Mandrie;Bresimo,16,0
O115B;SEZ. SAT BRESIMO;;E;VAL MALGAZZA (b.115);MALGA PREGHENA DI SOTTO (b.118A-133B);1601;1925;1601;1925;2510;2540;01:00;00:40;MADDALENE / Tuatti - Castel Pagano - Le Mandrie;Bresimo,16,0
O116;SEZ. SAT RABBI STERNAI;;EE;pr. MALGA SALECI BASSA (b.120);MALGA SORA SAS (b.121);1735;2207;1735;2338;4210;4310;02:40;02:20;CEVEDALE / Vegaia - Tremenesca;Rabbi,13,0
O117;SEZ. SAT BRESIMO, SEZ. SAT MAGRAS;;E;BRESIMO - presso la Rotonda;ARNAGO - chiesa di San Romedio;1056;835;835;2331;14590;14920;06:40;07:00;MADDALENE / Tuatti - Castel Pagano - Le Mandrie;Bresimo, Malè,17,0
O117A;SEZ. SAT MALÈ;;EE;TERZOLAS - piazza Torraccia;CIMA VESE (b.133B);730;2400;730;2400;4820;5140;05:00;03:30;MADDALENE / Tuatti - Castel Pagano - Le Mandrie;Malè,12,0
O117B;SEZ. SAT MAGRAS;SENTIERO CROZ PONTARA;E;MASI DI ZORA o MASI DI SOPRA (b.117);QUOTA 1966 (b.117);1397;1966;1397;1983;5390;5460;02:15;01:50;MADDALENE / Tuatti - Castel Pagano - Le Mandrie;Malè,17,0
O118;SEZ. SAT RUMO;;EE;pr. PASSO PALU' (b.133);PASS DE L'OM (b. 117-133B);2350;2331;2331;2583;6700;6780;04:40;04:40;MADDALENE / Tuatti - Castel Pagano - Le Mandrie;Bresimo, Rabbi,19,0
O118A;GRUPPO SAT LIVO (Sez. Rumo);;E;MALGA PREGHENA SOTTO (b.115B-133B);SELLA DI ZOCCOLO (b.118);1925;2424;1925;2424;3200;3250;01:40;01:10;MADDALENE / Tuatti - Castel Pagano - Le Mandrie;Bresimo,10,0
O119;SEZ. SAT MALÈ;;E;MALE';CRESTA SE SASS DE L'ANEL (b.120);736;2360;736;2367;9590;9810;05:50;04:10;CEVEDALE / Vegaia - Tremenesca;Malè,15,0
O119B;SEZ. SAT MALÈ;;E;MAS DE MEZ;MAS DE LA CROS (b.119);1317;1601;1317;1601;1100;1140;00:45;00:30;CEVEDALE / Vegaia - Tremenesca;Malè,14,0
O120;SEZ. SAT RABBI STERNAI, SEZ. SAT MALÈ;;E;PRACORNO;MONCLASSICO - chiesa di San Vigilio;860;780;780;2527;16750;17170;08:15;08:30;CEVEDALE / Vegaia - Tremenesca;Rabbi, Malè,10,0
O121;SEZ. SAT RABBI STERNAI, SEZ. SAT ALTA VAL DI SOLE;SENTIERO ATTREZZATO DI VALORZ SAA - EE;EE;SAN BERNARDO;RONCIO - frazione di Mezzana;1098;1095;1095;2694;16280;16690;08:10;08:10;CEVEDALE / Vegaia - Tremenesca;Rabbi, Mezzana,10,0
O121A;SEZ. SAT ALTA VAL DI SOLE;;E;MALGA STABLI - parcheggio;ALTA VAL DEL PORE' (b.121);1790;2380;1790;2380;4790;4840;02:10;01:30;CEVEDALE / Vegaia - Tremenesca;Mezzana,11,0
O122;SEZ. SAT PEIO;;EE;pr. PIAN VEGAIA - ruderi fortino (b.124);FRONTE VEDRETTA DEGLI ORSI;1950;2950;1950;2950;5900;6040;03:00;02:00;CEVEDALE / Corno Tre Signori - San Matteo;Peio,19,0
O122B;SEZ. SAT PEIO;;E;VALLE DEGLI ORSI (b.122);VERSANTE O CIMA FRATTASECCA (b.139);2370;2440;2370;2440;400;410;00:20;00:15;CEVEDALE / Corno Tre Signori - San Matteo;Peio,18,0
O123;"RIF. CEVEDALE ""GUIDO LARCHER""";;E;CENTRALE DI MALGA MARE (b.102-127);VAL LAGO LUNGO (b.104);1972;2637;1972;2637;6490;6580;02:50;02:20;CEVEDALE / Cima Venezia;Peio,14,0
O124;SEZ. SAT PEIO;;E;MALGA TERMENAGO BASSA - parcheggio (b.110);MALGA PALUDEI (b.110B-141);1520;2106;1520;2106;9100;9180;03:10;02:50;CEVEDALE / Corno Tre Signori - San Matteo;Peio,15,0
O124B;SEZ. SAT PEIO;;E;pr. DIGA DI PIAN PALU' (b.110B);MALGA GIUMELA (b.124);1820;1947;1820;1947;1000;1010;00:20;00:15;CEVEDALE / Corno Tre Signori - San Matteo;Peio,15,0
O125;SEZ. SAT PEIO;;E;DOSSO DI SAN ROCCO;QUOTA 1794 (b.124);1610;1794;1610;1810;3800;3850;01:10;01:05;CEVEDALE / Corno Tre Signori - San Matteo;Peio,17,0
O126;SEZ. SAT PEIO, SEZ. SAT VERMIGLIO;;EE;COGOLO;FRAVIANO;1142;1260;1142;2588;14790;15100;06:30;06:30;CEVEDALE / Boai - Redival - Albiolo;Peio, Vermiglio,15,0
O126B;SEZ. SAT VERMIGLIO;;E;SS 42 DEL TONALE - km 157;VAL SAVIANA (b.126);1328;2020;1328;2020;3800;3870;02:00;01:30;CEVEDALE / Boai - Redival - Albiolo;Vermiglio,15,0
O127;SEZ. SAT PEIO;;E;COVEL - Rio Vioz (b.125);CENTRALE DI MALGA MARE (b.102-123);1802;1972;1802;2000;9800;9880;03:10;03:00;CEVEDALE / Corno Tre Signori - San Matteo;Peio,12,0
O128;SEZ. SAT RABBI STERNAI;;E;DOS DE LA CROS (b.106);VAL SAENT (b.106);1799;2360;1799;2360;4000;4070;02:10;01:40;CEVEDALE / Cima Venezia;Rabbi,16,0
O129;SEZ. SAT PEIO;SENTIERO DELLA VAL CADINI;E;pr. PONTE SUL RIO VEGAIA (b.124);CROCE DEI CACCIATORI (b.127);1965;1965;1965;2295;5500;5580;03:00;03:00;CEVEDALE / Corno Tre Signori - San Matteo;Peio,15,0
O129B;SEZ. SAT PEIO;SENTIERO GOTTARDO;T;QUOTA 1840 (b.124);QUOTA 2040 (b.129);1840;2040;1840;2040;1500;1530;00:50;00:40;CEVEDALE / Corno Tre Signori - San Matteo;Peio,14,0
O130;SEZ. SAT RABBI STERNAI;;E;LE PLAZETE (b.108);LAGHETTO DEL RIFUGIO (b.107);1599;2425;1599;2425;10030;10080;04:00;03:00;CEVEDALE / Sternai - Collecchio;Rabbi,10,0
O131;SEZ. SAT BRESIMO, SEZ. SAT RUMO;;E;BEVIA DI BRESIMO (b.149);MALGA LAVAZZE' (b.134-147);1036;1639;1036;2420;10810;11080;05:30;05:00;MADDALENE / Binasia - Monte Pin;Bresimo, Rumo,16,0
O131B;SEZ. SAT BRESIMO;;E;MALGA BINASIA DI SOPRA - Bivacco (b.133);BAIT DEI VACIAR (b.131);2138;2305;2138;2305;1500;1510;00:40;00:30;MADDALENE / Binasia - Monte Pin;Bresimo,10,0
O132;SEZ. SAT PEIO, SEZ. SAT RABBI STERNAI;;E;CELENTINO;LA PALINA (b.109);1280;2280;1280;2730;8900;9180;05:20;04:30;CEVEDALE / Vegaia - Tremenesca;Peio, Rabbi,17,0
O133;SEZ. SAT PEIO, SEZ. SAT RUMO, SEZ. SAT BRESIMO, SEZ. SAT RABBI STERNAI;;E;DORSALE S  MONTE LUCO - b.10A-AVS (b.158);PENASA;2160;1216;1216;2412;36720;37240;016:00;017:00;CEVEDALE / Corno Tre Signori - San Matteo, MADDALENE / Stubele - Olmi - Luco;Peio, Fondo, Rumo, Bresimo, Rabbi, Castelfondo,15,0
O133A;SEZ. SAT RABBI STERNAI;SENTIERO;E;PARCHEGGIO CAVALAR (b.108);MALGA PALU' (b.133);1470;2088;1460;2088;3160;3260;02:10;01:30;MADDALENE / Tuatti - Castel Pagano - Le Mandrie;Rabbi,20,0
O133B;GRUPPO SAT LIVO (Sez. Rumo), SEZ. SAT BRESIMO;SENTIERO TRAVERSATA MADDALENE SUD;E;CIS;MALGA BORDOLONA DI SOPRA (b.133-136);728;2084;728;2400;17940;18200;09:15;08:00;MADDALENE / Tuatti - Castel Pagano - Le Mandrie;Cis, Caldes, Bresimo, Malè,10,0
O134;SEZ. SAT RUMO;;EE;BAGNI DI MOCENIGO - Rumo (b.113A);CIMA STUBELE;1049;2671;1049;2671;9000;9180;05:00;03:30;MADDALENE / Stubele - Olmi - Luco;Rumo,15,0
O135;SEZ. SAT RABBI STERNAI;;E;PASSO PALU' (b.133);pr. RIFUGIO STELLA ALPINA LAGO CORVO (b.108);2412;2410;2410;2510;3790;3820;01:50;01:50;MADDALENE / Tuatti - Castel Pagano - Le Mandrie;Rabbi,20,0
O136;SEZ. SAT BRESIMO;;E;MALGA BORDOLONA DI SOTTO (b.112);PASSO ALPLANER - bivio 12 e 14A-AVS;1806;2424;1806;2424;3700;3760;02:00;01:30;MADDALENE / Tuatti - Castel Pagano - Le Mandrie;Bresimo,12,0
O137;SEZ. SAT VERMIGLIO, SEZ. SAT PEIO;;EE;SS 42 DEL TONALE - km 153,4;MALGA DI CELENTINO (b. 110-144);1587;1830;1587;2848;12880;13130;06:00;05:50;CEVEDALE / Boai - Redival - Albiolo;Vermiglio, Peio,19,0
O137A;SEZ. SAT VERMIGLIO;;E;VAL STRINO (b.137);CITTA' MORTA (b.161);2208;2500;2208;2500;1300;1340;00:45;00:30;CEVEDALE / Boai - Redival - Albiolo;Vermiglio,20,0
O137B;SEZ. SAT VERMIGLIO;;E;QUOTA 2300 (b.137A);QUOTA 2530 (b.161);2300;2530;2300;2530;800;840;00:40;00:30;CEVEDALE / Boai - Redival - Albiolo;Vermiglio,19,0
O138;SEZ. SAT PEIO;;EE;RISTORANTE DOSS DEI GEMBRI;CROZI DI TAVIELA - Peio 3000 ex Rifugio;2300;2985;2300;2985;3300;3380;02:10;01:30;CEVEDALE / Corno Tre Signori - San Matteo;Peio,15,0
O139;SEZ. SAT PEIO;SENTIERO DEI TEDESCHI;EE;QUOTA 2480 (b.105);VALLE DEGLI ORSI (b.122);2480;2550;2375;2550;8600;8670;03:00;03:00;CEVEDALE / Corno Tre Signori - San Matteo;Peio,14,0
O139B;SEZ. SAT PEIO;;E;ALTA VAL CADINI (b.129);pr. COLEM (b.139);2295;2405;2295;2405;500;520;00:20;00:15;CEVEDALE / Corno Tre Signori - San Matteo;Peio,13,0
O140;SEZ. SAT PEIO;;E;MALGA LEVI (b.109);"CRESTA ""LE LAME"" (b.123)";2015;2430;2015;2430;7000;7070;02:45;02:20;CEVEDALE / Cima Venezia;Peio,15,0
O140B;SEZ. SAT PEIO;;E;MALGA PONTEVECCHIO;QUOTA 2262 (b.109);1762;2262;1762;2262;4750;4810;01:50;01:15;CEVEDALE / Cima Venezia;Peio,12,0
O141;SEZ. SAT PEIO;;E;SALINE (b.124);MALGA PALUDEI (b.110B-124);2068;2106;2068;2455;4800;4890;02:15;02:10;CEVEDALE / Corno Tre Signori - San Matteo;Peio,20,0
O141A;SEZ. SAT PEIO;;E;VALPIANA (b.141);PASSERELLA TORRENTE NOCE (b.110);2400;2330;0;2400;2300;2330;00:45;00:50;CEVEDALE / Corno Tre Signori - San Matteo;Peio,18,0
O142;SEZ. SAT RUMO;;E;PONT DAL VAT (b.113);MALGA CEMIGLIO DI FUORI - ruderi (b.133);1256;1810;1256;1810;2300;2390;01:50;01:20;MADDALENE / Stubele - Olmi - Luco;Rumo,19,0
O144;SEZ. SAT PEIO, SEZ. SAT VERMIGLIO;;E;MALGA DI CELENTINO (b.110-137);VAL SAVIANA (b.126);1830;2157;1830;2716;7160;7340;03:30;03:00;CEVEDALE / Boai - Redival - Albiolo;Peio, Vermiglio,20,0
O144A;SEZ. SAT PEIO;;E;VAL PUDRIA - conca superiore (b.144);VAL COMICIOLO (b.137);2274;2360;2274;2460;2300;2330;01:00;00:50;CEVEDALE / Boai - Redival - Albiolo;Peio, Vermiglio,20,0
O145;SEZ. SAT RABBI STERNAI;SENTIERO DEL COLLECCHIO;E;RIFUGIO STELLA ALPINA LAGO CORVO (b.108);GIOGO NERO (b.107);2425;2833;2425;2994;4580;4660;02:20;02:00;CEVEDALE / Sternai - Collecchio;Rabbi,14,0
O146;"RIF. CEVEDALE ""GUIDO LARCHER""";;E;PIAN VENEZIA (b.102);VAL LAGO LUNGO (b.104);2260;2637;2260;2637;2400;2440;01:15;01:00;CEVEDALE / Cima Venezia;Peio,17,0
O147;SEZ. SAT RUMO;;E;CORTE INFERIORE - frazione di Rumo;MALGA LAVAZZE' (b.131-134);1025;1639;1025;1750;11800;11920;05:15;04:50;MADDALENE / Stubele - Olmi - Luco;Rumo,13,0
O148;SEZ. SAT RUMO;;E;FONTANE - ponte sul Torrente Lavazzè (b.134);MALGA STABLEI (b.149);1099;1764;1099;1764;2300;2400;01:50;01:10;MADDALENE / Binasia - Monte Pin;Rumo,16,0
O149;GRUPPO SAT LIVO (Sez. Rumo);;E;BEVIA DI BRESIMO (b.131);COSTA POZON (b.133);1055;2110;1055;2216;10200;10350;06:00;04:50;MADDALENE / Binasia - Monte Pin;Bresimo, Rumo,17,0
O152;SEZ. SAT VERMIGLIO;;E;CUSIANO;MALGA CAMPO (b.132);941;1979;941;2067;6900;7070;03:50;03:00;CEVEDALE / Vegaia - Tremenesca;Vermiglio,15,0
O157;SEZ. SAT FONDO;;T;REGOLA - Ristorante Arnica;PASSO CASTRIN - bivio 24-AVS (b.133);1248;1785;1248;1785;7800;7850;02:40;02:10;MADDALENE / Stubele - Olmi - Luco;Castelfondo,18,0
O160;SEZ. SAT VERMIGLIO;;E;OSPIZIO SAN BARTOLOMEO (b.111-111A);QUOTA 2135 (b. 137);1971;2135;1971;2135;4950;5000;02:00;01:50;CEVEDALE / Boai - Redival - Albiolo;Vermiglio,13,0
O161;SEZ. SAT VERMIGLIO;;E;ROCK GLACIER (b.111);QUOTA 2545 (b.137);2140;2545;2140;2656;4390;4540;02:30;02:20;CEVEDALE / Boai - Redival - Albiolo;Vermiglio,17,0
O171;SEZ. SAT RABBI STERNAI;;EE;PONTIN - parcheggio Valorz (b.121);pr. MALGA SORA SAS (b.121);1246;2230;1246;2450;6540;6730;04:30;03:40;CEVEDALE / Vegaia - Tremenesca;Rabbi,14,0
O171A;SEZ. SAT RABBI STERNAI;;E;DOS DI MASETTI (b.121);VALEN (b.171);1210;1330;1210;1330;350;380;00:20;00:10;CEVEDALE / Vegaia - Tremenesca;Rabbi,16,0
O172;SEZ. SAT RABBI STERNAI;;E;PARCHEGGIO FONTANON (b.109);CAMPO SECCO (b.171);1549;2326;1549;2326;4650;4740;02:30;01:50;CEVEDALE / Vegaia - Tremenesca;Rabbi,11,0
O172A;SEZ. SAT RABBI STERNAI;;E;LA CROS - Val Cercen;QUOTA 1710 (b.172);1428;1710;1428;1710;1250;1290;00:45;00:30;CEVEDALE / Vegaia - Tremenesca;Rabbi,12,0
O201;SEZ. SAT PINZOLO - ALTA RENDENA, SEZ. SAT DIMARO, SEZ. SAT ALTA VAL DI SOLE;;E;PASSO CAMPO CARLO MAGNO - Hotel Maribel;QUOTA 1881 - in Val Lores (b.202);1678;1881;1678;2101;9000;9080;03:10;02:45;PRESANELLA / Giner - Nambino - Serodoli;Pinzolo, Mezzana, Commezzadura,12,0
O202;SEZ. SAT ALTA VAL DI SOLE;;E;MARILLEVA 1400;BASSETTA DI VIGA (b.201);1391;2101;1391;2155;6790;6890;02:40;02:10;PRESANELLA / Giner - Nambino - Serodoli;Commezzadura, Pinzolo,17,0
O202A;SEZ. SAT DIMARO;"SENTIERO ""AMEDEO CATTURANI""";E;QUOTA 2122 (b.202);QUOTA 2151 (b.267A);2122;2151;2122;2151;1470;1480;00:45;00:45;PRESANELLA / Giner - Nambino - Serodoli;Pinzolo,17,0
O203;SEZ. SAT ALTA VAL DI SOLE, SEZ. SAT PINZOLO - ALTA RENDENA;;E;MALGA FAZZON;LAGO SERODOLI (b.217-232);1279;2370;1279;2515;10200;10350;04:30;03:50;PRESANELLA / Giner - Nambino - Serodoli;Pellizzano, Pinzolo,14,0
O204;SEZ. SAT ALTA VAL DI SOLE;;E;SANT'ANTONIO - Valpiana;LAGO DI BARCO (b.205);1203;1903;1203;1903;7300;7370;02:45;02:10;PRESANELLA / Presena - Presanella - Scarpacò;Ossana, Vermiglio,14,0
O205;SEZ. SAT VERMIGLIO;;E;CORTINA - Vermiglio;LAGO PICCOLO;1111;2313;1111;2313;6500;6630;04:10;02:40;PRESANELLA / Presena - Presanella - Scarpacò;Vermiglio,18,0
O206;"RIF. STAVEL ""FRANCESCO DENZA""";SENTIERO DELLA SCALAZA;EE;STAVEL - bivio strada Velon;MORENA VEDRETTA PRESANELLA;1234;2700;1234;2700;8600;8770;04:10;03:00;PRESANELLA / Presena - Presanella - Scarpacò;Vermiglio,20,0
O207;SEZ. SAT VAL GENOVA;SENTIERO DI VAL FOLGORIDA;EE;CASCINA MUTA;PASSO DELLE TOPETTE;1397;2899;0;2899;7500;7690;05:10;03:20;ADAMELLO/ Carè Alto - Lares - Monte Ospedale;Strembo,16,0
O209;"SEZ. SAT VERMIGLIO, RIF. MANDRON ""CITTA' DI TRENTO""";SENTIERO ATTREZZATO DEL PASSO MAROCCARO SAA - EE;EE;PASSO PARADISO - o Monticello (b.281);RIFUGIO MANDRON - CITTA DI TRENTO (b.212-236);2585;2442;2442;2974;5200;5320;02:30;02:40;ADAMELLO / Mandron - Lobbia - Buciaga;Vermiglio, Spiazzo,19,0
O210;SEZ. SAT PINZOLO - ALTA RENDENA;;E;VAL DI GENOVA;"BIVACCO PRESANELLA ""V. ROBERTI"" (b.219)";910;2204;910;2204;4600;4800;03:40;02:30;PRESANELLA / Presena - Presanella - Scarpacò;Giustino,11,0
O211;"SEZ. SAT PINZOLO - ALTA RENDENA, RIF. VAL D'AMOLA ""GIOVANNI SEGANTINI""";;E;PONTE SARCA NAMBRONE - SS 239 km 27,4;"RIFUGIO ""GIOVANNI SEGANTINI"" (b.211B-216-219)";948;2373;948;2373;8990;9160;04:20;03:00;PRESANELLA / Presena - Presanella - Scarpacò;Giustino, Carisolo,12,0
